MAPK1	ERK1/2	member>
LPAR1	LPAR	member>
GNGT1	Ggamma	member>
GNG12	Ggamma	member>
GNG2	Ggamma	member>
GNG3	Ggamma	member>
MAPK3	Gbeta	member>
MAPK1	Gbeta	member>
TGFB1	TGFb	member>
PRKAA2	AMPKc	member>
PRKAA1	AMPKc	member>
YWHAB	14-3-3	member>
SFN	14-3-3	member>
FGF10	FGF	member>
BMPR2	BMPR	member>
BMPR1A	BMPR	member>
BMPR1B	BMPR	member>
DVL2	DVL	member>
DVL1	DVL	member>
DVL3	DVL	member>
FZD6	Frizzled	member>
FZD7	Frizzled	member>
FZD5	Frizzled	member>
FZD8	Frizzled	member>
FZD1	Frizzled	member>
FZD2	Frizzled	member>
FZD3	Frizzled	member>
NFKB1	NF-kB	member>
RELA	NF-kB	member>
PAK2	PAK	member>
PAK1	PAK	member>
MAPK8	JNK	member>
MAPK9	JNK	member>
MAPK10	JNK	member>
MAPK14	p38	member>
MAPK11	p38	member>
MAPK13	p38	member>
MAPK12	p38	member>
PRKACA	PKA	member>
PPP3CA	PP2B	member>
PPP3CC	PP2B	member>
PPP3CB	PP2B	member>
TLR4	TLRs	member>
TAOK1	TAOK	member>
TEAD1	TEAD	member>
FGFR4	FGFR	member>
FGFR1	FGFR	member>
FGFR2	FGFR	member>
FGFR3	FGFR	member>
AKT1	AKT	member>
AKT2	AKT	member>
AKT3	AKT	member>
MAP2K1	MEK1/2	member>
MAP2K2	MEK1/2	member>
RPS6KA2	RPS6K	member>
RPS6KA3	RPS6K	member>
RPS6KA5	RPS6K	member>
RPS6KA4	RPS6K	member>
