#Treatment	Dose	Effect
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00138507106480002|0.00304715634256004|0.0216497261821049|0.889055807709519|0.988397366234098
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00119329199428925|0.00174732042020925|0.0217562701101664|0.882524664919346|0.993021372711969
D1	10|2|0.4|0.08|0.016	0.891835314316974|0.923011095133253|1.05198220229052|1.06767841716293|0.977704117142076
D1	10|2|0.4|0.08|0.016	1.0331662428472|0.985059348265861|1.1102174342809|1.05352040968312|0.880764554068802
D1	10|2|0.4|0.08|0.016	1.12174662735364|1.09860062405847|1.14922483593153|1.13296372545109|1.11233359207931
D1	10|2|0.4|0.08|0.016	1.08603354697773|1.09275889682172|1.10233147506681|1.19808180259012|1.06253164013242
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.592347124244643|0.763022164152762|0.934529611034134|0.966635231888563|0.880170274641617
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.620986138843376|0.72497378971714|0.902223791034239|0.939998208744488|0.735984742717756
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.625744237656581|0.712674601417812|0.889395925919619|1.03841940665316|0.97385164626221
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.631578947368421|0.774813124691379|0.946460295027442|1.04695579128994|0.957085369522155
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.558505430581877|0.917776925323058|1.10404846014233|1.11122816459501|1.10334995620037
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.542634504949645|0.879634029737946|1.09475034209517|1.0896546985841|1.03670580960615
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.55642772423576|0.917267151822912|1.15835523688618|1.04592295909549|0.937376699387893
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.614992162402179|0.875212330359218|1.07541378344389|1.03638671840077|1.08546259707595
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.879146281319306|1.09728386993316|1.05782933493088|1.14534336640374|1.07453094790731
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.989812621215284|1.01974239577377|1.13144956082625|1.11431225359826|1.02566057602411
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.958065749483193|1.12392345427799|1.07293617517643|1.12147388748842|1.03459851081892
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.959322934555093|1.11079429471269|1.12006117436639|1.07907953315664|1.08550802589542
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.972044313657608|1.1817676005836|1.11899404040654|1.12623952125423|1.02218155740745
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.908009594698187|1.17261801726057|1.06043670713915|1.17808303865081|1.05372289126833
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.968626765351516|1.17042562697904|1.1972078144932|1.14568966075464|1.01072971100362
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	1.05829788060687|1.17134513148267|1.12561597088667|1.12744202912628|1.0284334103904
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.730303624023974|0.837826292240934|0.737793851717902|0.932886660521168|0.880416523467988
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.789801470422915|0.819993640372713|0.830657257844343|0.950423814555838|0.913653605876553
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.732569239425223|0.759285131777751|0.797898636389498|0.847474128066859|0.915686262114134
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.766277033562393|0.774520650133074|0.786848144238003|0.803803189976167|0.88367270819241
PI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.576491966386919|0.919219738883879|0.978148247445574|0.985481813676505|1.05617435905769
PI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.535480324215122|0.882378588586393|0.924051009990224|1.02315706234885|1.11876423451163
PI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.728006848075206|0.990000951121556|1.08402085103902|1.04164378350019|1.08084226416021
PI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.61735766159095|1.01471783905182|0.907099969011846|0.967738570433619|1.04770641638874
PK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00145407800390915|0.001791255512062|0.0494597257271707|0.934961619716455|0.940103576715786
PK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00109582690149675|0.00145407800390915|0.0338758027722313|0.897671894674176|1.03216357323864
PK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00163462684534046|0.00156651739345128|0.0382434572357779|0.978153893306544|0.995726131893954
PK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00129407958589453|0.00206598670730531|0.0312735899924512|0.932282177459177|0.998836463530226
JN-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.611019185956636|0.960706290543287|1.02523202354302|0.981878975603891|1.05135149061886
JN-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.703611036362283|0.945739984770324|0.970542600152297|0.931941669195404|1.04610698561196
JN-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.628032971552202|1.01117528206412|1.0280782686955|1.02795906568682|1.04853350498567
JN-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.670266597528922|1.02841203711982|1.00969716475644|1.04448060269041|0.974544197495545
60	10|2|0.4|0.08|0.016	1.08181672400282|1.05733312758883|1.05816820823765|1.02781484204571|1.03310368615491
60	10|2|0.4|0.08|0.016	0.986411785529505|1.08047333339385|1.05534829822061|1.02881935934791|1.07823434904556
60	10|2|0.4|0.08|0.016	1.09222165339278|1.10015358394951|0.87812433171541|1.07280656846798|0.97649582342382
60	10|2|0.4|0.08|0.016	1.08104955512497|0.997556913545845|1.06269724520941|1.01974558203133|1.0522250231672
5Z-60	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.673372239669626|0.693093301021291|0.928769257400035|1.02139024209303|1.02025272632854
5Z-60	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.65551818788793|0.744207324612379|0.910111526002127|1.0760899132026|0.996995474665546
