#Treatment	Dose	Effect
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.924924569298417|0.992410590161571|0.912073031335921|0.968967860857387|1.01096705763626
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.893568052394732|0.975578988559248|1.00263106406203|0.946750558650589|0.888810511899
PD	10|2|0.4|0.08|0.016	0.416999082532211|0.407290877178986|0.419432366667996|0.450352028401612|0.550430810961746
PD	10|2|0.4|0.08|0.016	0.392576488890662|0.421975348039411|0.42759483824644|0.448636762535402|0.52358989189836
PD	10|2|0.4|0.08|0.016	0.423908063877695|0.423487576813513|0.446349614229075|0.449620069172718|0.553236387704647
PD	10|2|0.4|0.08|0.016	0.383250598610057|0.428133699312815|0.465453224058609|0.444771489938809|0.520729103804499
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.341093324806348|0.407107851134502|0.410783155724065|0.431414979215474|0.562065792650696
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.308422790542877|0.400133125379309|0.427081878634029|0.45795130482449|0.555012757848851
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.317051102095401|0.379857405545104|0.425671247343269|0.45850458907908|0.542654952729434
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.303248043770713|0.411767359296102|0.428988014530094|0.451881668360429|0.561780759035537
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0780321247050028|0.354650494591021|0.405170749669436|0.417971535212761|0.502484392347648
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0995408365366912|0.299528562422241|0.407299750612311|0.461216587907766|0.54114562120967
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0947718163060485|0.393958321645192|0.442735586183681|0.495637050474071|0.571074498656643
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.112669945580012|0.387570050929129|0.419725842948778|0.495517363903278|0.532704978836671
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.44905729848191|0.440150056166336|0.391358652096123|0.487530411948933|0.566187534931713
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.457713197821253|0.418327312493179|0.415893254197042|0.492195690349863|0.553448414610082
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.42698104728926|0.406024688747324|0.413387962253179|0.483379239248236|0.548417964103513
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.434936427797309|0.399338108958262|0.429514419391504|0.489190346541196|0.519324363617139
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.532399672895781|0.43886725020444|0.474664566738347|0.556818608595572|0.580384650331647
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.546918254232668|0.404819335493837|0.47090892570494|0.533276796801648|0.568347215071024
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.504661513023588|0.396056041920909|0.434805362375398|0.468416078103183|0.553918129710294
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.531157584630203|0.413881000020302|0.435252001416613|0.49347749097135|0.560297398440373
PI	10|2|0.4|0.08|0.016	1.0329494852616|1.10195494715602|1.10550237595521|1.06670984697977|1.07539905460026
PI	10|2|0.4|0.08|0.016	1.06023778235877|1.11214882260988|1.07852796651865|1.05515579166329|1.03606345014854
PI	10|2|0.4|0.08|0.016	0.986796211444574|1.08053221797022|1.04886733036581|1.04785556435001|1.0476280380211
PI	10|2|0.4|0.08|0.016	1.0135136116416|1.04382786422971|1.01718307881851|1.08404677360404|1.00362347781255
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.278735316719728|0.466870128444396|0.536765835986387|0.676623119991217|0.929704687671534
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.291852014491163|0.463133165001647|0.531821275661434|0.659905587880119|0.917729717861456
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.291078732907687|0.486406843775362|0.545323872984248|0.72745300883918|0.937661315322909
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.309558226776689|0.499935560950633|0.536625181851642|0.672516106859682|0.927601857237899
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.412306592158152|0.903227741157881|0.969418060817864|1.04568433072092|1.03218975450252
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.455014042432945|0.82678154357191|1.00301840221911|0.984287469074929|0.997786658823665
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.372951234550859|0.807478166441199|0.938962664384381|0.985344597517094|0.963966575559298
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.393454993880162|0.762094733257871|0.943508830052548|0.974549754746326|0.987645288644709
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.852252021044527|0.856934037793114|0.845342810437461|0.900513839064043|0.91213184630577
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.743101668721651|0.865766936883156|0.779848135729389|0.952417721589609|0.920000669497152
