#Treatment	Dose	Effect
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.210141442283409|0.576295669546558|0.727238215958061|0.959574820603313|1.06143321102777
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.446366146480632|0.887614103184175|0.937063408004212|1.0566949718071|0.960205462259473
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.377126711930402|0.855417261033801|0.970738770287562|1.04297810075977|1.10783707504025
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.486817571495531|0.88455471284806|1.03246375754134|1.00794443259208|1.05077156246852
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.403799559515038|0.840150910116165|1.06137682877793|1.04278668203156|1.00066699289308
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.600767469589507|0.851152323960613|0.933334826101803|0.964710953375243|0.985792576089208
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.516818835752551|0.849005536305062|0.86973449246805|0.962323456803945|0.988737061895779
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.622661028179715|0.877586320540351|0.918316641052949|0.956984912768814|1.00192536521229
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.516830467256649|0.821938756040617|0.912369170566543|0.933500313955949|1.00198364653764
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.580545715135617|0.927132817124434|0.961191186589386|0.972990676389903|1.00056788988345
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.502140854719345|1.04995327678472|0.949037141200261|0.958889579971816|1.03555170952883
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.6297034980309|0.911559246078819|0.96168547414099|0.931115543215187|0.973721678348013
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.463096939965267|0.939866776165709|0.9060871907847|0.989529516219908|0.947659168299738
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.379836039996725|0.505269922283515|0.492986052431981|0.557593770323147|0.564477186326471
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.339551990953931|0.421349711826469|0.504781780574123|0.501012585096539|0.555505265288027
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.395054231083353|0.483913638235736|0.490372629944776|0.482898386887063|0.544321093481759
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.347623930346283|0.471833392893708|0.516227282388581|0.518080271813306|0.569612063428295
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.348844253019815|0.61048257634149|0.893426627172503|0.965803911330273|0.975971287283373
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.329577280930963|0.580223925748234|0.879718563748142|0.928496153865898|0.981580064785487
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.374652188182246|0.654344417332959|0.852093371321122|1.01035468481709|1.0528008066856
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.345213237380872|0.612649806810849|0.907914492595077|0.978084089997447|1.03082623440495
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0636908914035227|0.182148336831609|0.416493194681573|0.934752775879438|0.996483899152157
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0196322839556174|0.183409760620457|0.421045015685223|0.963369165423462|0.990771316607147
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0594530512316079|0.183300706004983|0.383893627939074|1.04932061698626|0.951615575541246
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0359871120712536|0.197005792490192|0.45570055994608|0.927062237500141|1.01232010063265
PD-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.671661130780742|0.694060176905014|0.739624776435376|0.7290822596148|0.737964010658101
PD-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.671709797909747|0.721143434195958|0.715704882529717|0.694218345074278|0.748165857575647
PD-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.694412685063405|0.703872461828634|0.707844217550311|0.687807415887944|0.719550768031357
PD-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.708617697026248|0.72012780827531|0.684523197478211|0.700097145338942|0.764805456099668
PI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.822244851225133|1.02298251341093|1.07882526241252|1.04640840369708|1.03951576099225
PI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.874923870728843|1.01815571460821|1.08086512085674|1.04059415749461|1.03090158170234
PI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.815557055868301|0.988205275164373|1.05065498365577|1.01093015612427|1.01037320549374
PI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.887805209755055|1.00552255407197|1.05998714480231|1.02388897253942|1.01883755984386
PK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0015360499593954|0.0294241701238283|0.49908403578241|1.02030229966824|1.03074618033478
PK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00192635773596308|0.0327858532316854|0.500003147643359|1.01582635081115|0.991476181782699
PK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00161022368174548|0.0331334488359167|0.476025472500012|0.991606709058902|0.987828876574806
PK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00162261001775891|0.0315975431702517|0.4912358931245|1.00207935615825|0.993018751364432
JN-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.658350137578778|1.12325975562334|1.06904863085735|1.04541494317184|1.05837048315829
JN-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.77015894163608|1.09016209191936|1.05774698959258|1.02917785810271|1.05128234577969
JN-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.730250297587718|1.0679018243949|1.05477719384904|1.03792117771858|1.01111480002915
JN-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.807838500967666|1.0698906010867|1.04512482488886|1.04607062748496|1.02705092596341
D1-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.885033934918734|1.10296145080765|1.08136564992169|1.04502042972768|0.99870887872526
D1-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.976950515354339|1.10349915748866|1.07064903072118|1.05008487637436|1.0052051257202
D1-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.886546772791448|1.12011171462216|1.05582648475021|1.04097435865819|1.01016035857188
D1-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.957743265988076|1.07301524670312|1.05867483769937|1.00680028853445|1.00329841737619
60-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	1.0993033408271|1.11622967532807|1.07066581272547|1.05587650964605|1.03174831390181
60-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	1.1142429549851|1.10185209389868|1.08279526324045|1.04454436137397|1.02378182673707
60-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	1.07443041687857|1.11415894920264|1.07851167862615|0.996841804874238|1.03421085775049
60-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	1.09618226659886|1.08251641671596|1.05066982114189|1.02291724125837|1.02086385644162
RU	10|2|0.4|0.08|0.016	1.00816391089049|1.02333588835761|1.0208112810405|1.01512331033811|0.998752904819262
RU	10|2|0.4|0.08|0.016	0.947652419364651|1.04681777810223|1.02527040673553|0.994926451801292|0.994129527563845
RU	10|2|0.4|0.08|0.016	1.03400086862973|1.07302474980855|1.0244919820565|1.02429554282452|1.0085804042658
RU	10|2|0.4|0.08|0.016	0.940158164275377|1.06681235909705|1.03772707531143|1.00660987321996|1.0024294008143
5Z-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.325480852777764|0.816878854171234|1.01646665984548|1.01959141115653|1.00848262790936
5Z-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.217790618924884|0.819068128998309|1.01099672096003|1.01990973301566|1.015881987043
5Z-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.316639385800026|0.84424001334091|1.0023945639028|1.01586499775763|1.01878575048288
5Z-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.263683742708237|0.79032589707099|1.03652398044844|1.03016438138813|1.01459566841361
AK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	1.03524731033875|1.13140151968221|1.033025074127|1.03090985778947|1.0224615830128
AK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.9840225623076|1.10193957783807|1.01505203054473|1.01830669377837|1.02194536950185
AK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	1.02039874712211|1.08688859884219|1.05163708654797|1.01279353680987|0.993433693620882
AK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.901397023873114|1.09666141795678|1.04909169449722|1.01239717405744|0.996381641592078
BI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	1.1595077026067|1.08282455711447|1.04177242813006|1.03795270965381|1.01410243999285
BI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	1.07764627897399|1.06429695357762|1.08709056572196|1.00788063051607|0.997819413292555
BI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	1.15803810742309|1.10440591774433|1.04839626537537|1.00441644465678|1.01786498020131
BI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	1.08078676524175|1.08280793243342|1.05771177313694|1.02687601726414|1.0020130695667
CT-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.97206113599915|1.09797828540345|1.04800907848954|1.02294319379011|0.99116222798138
CT-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.888610309587748|1.12041816073053|1.07945241452183|1.01081353145115|0.993031696558365
