#Treatment	Dose	Effect
PI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.34111671552187|0.307680390137411|0.491467504687459|0.835753206397831|0.91982993107455
PK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000817979590411683|0.00101748680758526|0.00222783059177166|0.744314875590624|1.05570574015515
PK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00100418632644036|0.00168251086483054|0.0025736431015392|0.259977854698894|0.985166638403144
JN-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.276516848577284|0.78576489840014|0.978650525078245|1.00860778799867|1.0402046295855
JN-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.161631952719127|0.642803806618687|0.861318971132612|0.888969384999126|0.925402348156268
D1-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.441322060508721|0.843137502594133|0.993591814269086|0.983348822940258|1.01834390536602
D1-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.245954505671001|0.603412525828544|0.795885479170238|0.833082191162803|0.971604392431447
60-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.699499349374738|1.01027767362872|1.05729178153695|0.951103857435875|1.10979025605964
60-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.419215867904693|0.941215823794505|0.96136682766885|0.864456746285555|1.00302889952435
SB-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.756182775192616|0.985994355023266|0.976664886719048|1.02869021283088|1.01744602944542
SB-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.500236478755054|0.838538408726829|0.88705469524754|0.938225646502403|0.863780608742086
D4	10|2|0.4|0.08|0.02	0.920027112437391|1.12198308113485|1.00522354556738|1.04337813927694|0.978315331731235
D4	10|2|0.4|0.08|0.02	0.899104761401748|1.00890661173757|0.879309161010907|0.97095624158238|0.809288650628075
5Z-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.225283549632408|0.663155339644412|0.772651550669845|0.899737648009417|1.01508607073861
