#Treatment	Dose	Effect
F4	10|2|0.4|0.08|0.02	0.569466973870458|0.986878403091324|0.999669377085766|1.00573424116875|0.978995112980049
F4	10|2|0.4|0.08|0.02	0.913897466925448|0.977775682379534|1.06413752098672|0.972338123937568|1.04869443593189
F4	10|2|0.4|0.08|0.02	0.621044608409357|1.04147578898292|1.10253569379945|0.993187336460715|1.00122318872466
5Z-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0967358924614912|0.351365963807525|0.425542516087311|0.558036234880047|0.683109118086697
5Z-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0914883015827582|0.331319106531395|0.480552110167605|0.438380561651242|0.758642623159368
5Z-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.132822983347632|0.366539079170241|0.453100596141578|0.560076112540971|0.661123209925427
5Z-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0884313337292945|0.407785037066367|0.518148221474296|0.456268285708001|0.743978090147166
AK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.638833521395126|1.20692427753867|1.2339916622185|1.10031688975074|1.08250619928244
AK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.298835818676901|1.11895189897366|1.15162735386923|1.10806008067513|1.22530253173965
AK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.566312196402783|1.06322699225417|1.0274911382434|1.04622554811606|1.03840094525404
AK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.227727451752659|1.105080740449|1.22134698700276|1.01872128134436|0.994249704608113
BI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.94466265060241|1.02722891566265|0.902349397590361|1.04968674698795|0.854204819277108
BI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.676228915662651|0.979421686746988|0.98066265060241|0.926795180722892|1.05225301204819
BI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.00307256272344|1.03714773422655|1.00528841508583|1.08523946020806|0.945705175690038
BI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.732429385809527|1.04192727624078|1.11042545653644|1.03963412670295|1.0037811201649
CT-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.936325802244976|1.06112847774679|0.877811679114489|0.91593508413979|0.936076221852011
CT-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.720600989586258|1.13113577797328|0.974349375113091|0.903892830179261|0.872582969881886
CT-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.04166735973652|1.12055090736706|0.927121209600958|1.00246511086345|0.914958665313794
CT-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.796553502220596|1.16402468437599|1.09734360185632|0.891591676508259|0.975625010396048
PD-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.349097568728547|0.410175353667321|0.414654702295375|0.491981790981228|0.615117218371162
PD-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.33761923786916|0.427089560726378|0.434508481891592|0.48898389359214|0.617298567833261
PD-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.332270943067065|0.366457543530043|0.404949620335268|0.462363426935507|0.577593630131625
PD-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.331063173080149|0.366122051867011|0.431487010881113|0.428635331745339|0.574082150725221
PI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.64588535347764|0.692469468683367|0.967588056377477|0.929455213846861|0.962102995630916
PI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.820726527416794|0.702612940950501|0.951103698282758|0.966284868185918|1.06216645311562
PI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.655216179049493|0.717197179011645|1.01065061882593|1.03528758689426|0.975658251643264
PI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.720386561195009|0.763634987320692|1.15843205530954|0.944773727968914|1.01966365138842
PK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000800841910726661|0.00135527092584512|0.0071870427885726|0.381180215097923|0.946564336866963
PK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00127313329397572|0.00151954618958392|0.010842167406761|0.362226956544059|0.861634025514002
