#Treatment	Dose	Effect
RU-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.823675663246242|0.868773533385071|0.935989192607284|0.937728148084275|0.943591733494294
RU-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.593917967290391|0.804345951539191|0.841683193929465|0.898867523210026|0.93264062544911
D4-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.610910537716803|0.882067756148598|0.937430924979001|0.954834146269581|0.900237249672124
D4-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.4513638172146|0.862940422333888|0.898012112995682|0.922945432575412|0.933953227921781
D4-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.601266781828651|0.919219929084462|0.985407764342213|0.9357668878989|0.88262569324484
D4-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.506955177743431|0.905188350456102|0.879034457677971|0.939630875534139|0.984089462678425
SF	10|2|0.4|0.08|0.02	0.649626318669686|0.536087909980946|0.841248347293956|0.921457017659489|0.969486352942116
SF	10|2|0.4|0.08|0.02	0.526996528818001|0.605847084247065|0.957039628994955|0.879003942527771|1.07914215069484
SF	10|2|0.4|0.08|0.02	0.573207850304741|0.621052554002167|0.774359012152791|0.867468991591065|0.896270147174789
SF	10|2|0.4|0.08|0.02	0.502074597056504|0.511876423291498|0.816263661755927|0.845256431987855|0.850282631606099
5Z-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00556622543213|0.0706895295926152|0.331734768591461|0.602195055566417|0.87754687398173
5Z-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00164073311635788|0.055723590138734|0.340996477023986|0.548158200407116|0.780820289888407
5Z-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00471472523168808|0.0775896155540744|0.368230584708775|0.570617320213443|0.841857119724648
5Z-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.003720565917658|0.0517264103693829|0.350365843096053|0.56040459271477|0.787404302751637
AK-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000669860758821535|0.233307600877354|0.787445829095647|0.820465063085362|0.948686215164177
AK-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000114366471018311|0.22698476883677|0.776417633676024|0.823552957802857|0.878236469016898
AK-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000834145490294547|0.226921620114823|0.835694617633665|0.907243872648114|1.00318762740934
AK-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000902238999706347|0.1835120078648|0.878899949355452|0.923892735699299|0.949836362785195
BI-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000972883019350985|0.600371231678437|0.904491049902925|1.01077425273623|0.991316592349214
BI-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00128010923598814|0.526022487252246|0.868511446310085|1.10935973203047|0.924494890230633
BI-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000607990140700421|0.708587860737393|0.949368388620725|0.913743452808873|1.00834343226867
BI-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000870904796138441|0.588468727534148|1.01105473965287|0.964633870802095|0.907482797576255
CT-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000474514005816623|0.539277514158886|1.05876320220419|1.0148017756008|1.03932343486913
CT-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000964334915046686|0.492040410225011|1.02640440838818|1.00503597122302|1.07549364763508
CT-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000493013770771006|0.504592124478507|0.921218640402478|0.955669845111507|0.906054731998461
CT-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000493013770771006|0.462282579059614|0.881478742516088|0.934141577121173|1.04293328253798
PD-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.042467740703978|0.059341834007788|0.285179812170726|0.360280980377186|0.503855844849966
PD-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.105031686645797|0.0718485149270825|0.283713827594106|0.307765137054287|0.563854317782698
PD-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0298252967965159|0.0592527335118967|0.291645648760595|0.363018905458498|0.458533743508131
PD-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.102406343026436|0.0689008404794214|0.270402762285706|0.319268505822256|0.471634707608364
PI-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000886531716838659|0.13126890684418|0.635518815469201|0.944047406117069|1.03448919442263
PI-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000544361580514966|0.149030647556983|0.704621629818572|0.874462442939241|0.999090138501139
PI-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000208990615517553|0.140618531840926|0.637453529730925|0.89145750859072|0.996419026184113
PI-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000401905029841448|0.166372606153166|0.650234109679883|0.938801921106043|1.08133352088901
PK-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000773016974821733|0.00143560295324036|0.0565722218716476|0.908815548684294|1.09722660440462
PK-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000299741275951284|0.000962327254369912|0.0744462674323216|1.03854041774468|1.01370921941061
