#Treatment	Dose	Effect
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00109260354610551|0.00165374314509303|0.00212315800193836|0.395171771440827|0.945595762316913
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.116347979463212|1.00748222129849|1.1650413993776|1.18687577939805|1.13059060116165
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0386553347339093|0.888657019918886|1.0819702059296|1.1652380042916|1.05174922200627
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.828790388938973|1.04081648707286|0.974447806092187|1.11046080795971|1.07735513317317
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.33931035350794|0.984082781493421|1.08889381860633|1.09113421785051|0.985294233331917
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.00951810033385|1.1351474588107|1.07769448332818|1.02529231887709|1.09821978043002
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.928858178710704|1.0139311826997|0.989356308571392|0.986062440013647|0.964335024377178
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.481088623988764|0.832878275195614|0.96815035242477|1.01089071722856|1.03078006057676
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.394848404698555|0.73531535819142|0.977901005992175|0.962687996497724|1.0501918208931
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.708505335033362|0.901579259645771|1.02202042559638|1.00419256335484|0.987725285407102
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.560785155324022|0.884999768560404|0.950697755316448|0.953247798869172|0.887336607151624
F4	10|2|0.4|0.08|0.02	0.739007362933897|0.855330522689396|0.940416012172413|0.935149932858838|1.04265942400909
F4	10|2|0.4|0.08|0.02	0.636998658525646|0.879713117380018|0.8929943204849|0.888966525190245|0.908123507365294
5Z-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0207081147273932|0.28750098302457|0.399071463077597|0.505600431407354|0.777707249665772
5Z-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00183404298345148|0.22867960139758|0.345875790632618|0.44405185875903|0.699402321061442
AK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.540735461397952|0.761370734155547|1.02758176906581|1.04968053857687|1.01095183928282
AK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.33083648389477|0.67115375841133|0.907698383105124|0.955322600184707|0.976175304947601
BI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.698564791638102|0.905198445217513|0.946437169377545|0.944001045875012|1.01119532672434
BI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.38038282851795|0.887137969408156|0.903833705873162|0.810170496758744|0.931083851753594
CT-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.855036137945216|1.02086357956774|1.11538190474374|1.02483017197135|0.97988430219398
CT-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.6729078588112|0.98324064961242|0.994646261047217|0.966727552975649|0.95224750077317
PD-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.200754740864392|0.191650382512797|0.182473239926899|0.246706908964328|0.342278937666632
PD-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.179615667597566|0.152603223075767|0.128783791267474|0.195650350867477|0.291776172656862
PI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.877185261468543|0.96947932207567|0.99063328389585|1.04932159156423|1.01772854567246
PI-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.79101147331036|0.874779401733099|0.935923446716808|1.03131285125185|0.979660216321998
PK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000934652911836899|0.00149369764415056|0.00198286178492501|0.686704926290534|1.02824922912972
PK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000963769824978235|0.00150534440940709|0.00196539163704021|0.176474698858326|1.00143546381787
